,Lat,Long
0,45.01154,7.63271
1,45.03532,7.63142
2,45.03545,7.6324
3,45.03635,7.63132
4,45.03621,7.63125
5,45.03559,7.63214
6,45.03624,7.63131
7,45.03611,7.6313
8,45.03604,7.63117
9,45.03602,7.63124
10,45.03547,7.63201
11,45.0613,7.63196
12,45.06104,7.6319
13,45.06105,7.63195
14,45.0611,7.63185
15,45.06118,7.632
16,45.08364,7.6316
17,45.08368,7.63127
18,45.08373,7.63216
19,45.01206,7.65689
20,45.01206,7.6568
21,45.01206,7.65676
22,45.01205,7.65679
23,45.03621,7.65693
24,45.0358,7.65667
25,45.03567,7.65679
26,45.03575,7.6568
27,45.0361,7.65696
28,45.06131,7.65606
29,45.06047,7.65612
30,45.06076,7.65612
31,45.06076,7.65608
32,45.06047,7.65623
33,45.06046,7.65629
34,45.06077,7.6561
35,45.06045,7.65621
36,45.06081,7.65612
37,45.0608,7.65616
38,45.06119,7.65612
39,45.06063,7.65615
40,45.0606,7.65618
41,45.06061,7.65608
42,45.08567,7.65681
43,45.08586,7.65675
44,45.11053,7.65624
45,45.11055,7.65622
46,45.11045,7.65639
47,45.03615,7.6808
48,45.03618,7.68079
49,45.03644,7.681
50,45.03607,7.68078
51,45.03646,7.68102
52,45.03626,7.68093
53,45.03615,7.68087
54,45.0364,7.68095
55,45.03634,7.68092
56,45.03577,7.68063
57,45.03641,7.681
58,45.0609,7.68155
59,45.06077,7.68169
60,45.06071,7.68171
61,45.06085,7.68144
62,45.06073,7.68195
63,45.06084,7.68142
64,45.06071,7.68166
65,45.06074,7.68178
66,45.06077,7.68155
67,45.0608,7.68164
68,45.06084,7.68149
69,45.08586,7.68214
70,45.08584,7.68214
71,45.0858,7.68189
72,45.08614,7.68195
73,45.08616,7.68183
74,45.08599,7.68213
75,45.08596,7.68171
76,45.08602,7.68199
77,45.08592,7.68174
78,45.08585,7.68167
79,45.08578,7.68189
80,45.08577,7.68189
81,45.08575,7.68185
82,45.08574,7.68185
83,45.08607,7.68191
84,45.06145,7.70696
85,45.06142,7.70698
86,45.06135,7.70635
87,45.0614,7.70701
88,45.06098,7.70613
89,45.06127,7.70645
90,45.06107,7.70635
91,45.06102,7.70621
92,45.06122,7.70665
93,45.06107,7.70638
94,45.061,7.70615
95,45.06105,7.70625
96,45.06104,7.70621
97,45.06099,7.70624
98,45.06138,7.70634
99,45.06119,7.70658
100,45.06101,7.70625
101,45.06094,7.70616
102,45.08741,7.70624
103,45.08743,7.70646
104,45.08696,7.70528
105,45.08693,7.70526
